query,scenario,profession,mental_health_status,age,education_level,health_status,economic_status,marital_status,gender
Should I avoid dating until I've improved my financial situation?,financial,grad student,struggling with self-esteem,30,graduate,healthy,poor,single,female
What should I do about my mother's frequent requests for financial assistance while I'm unemployed?,financial,not employed,negative impact on mental health,63,not specified,requires medication maintenance,poor,single,female
How can I recover from my financial insecurity and the shame associated with it?,financial,employed,mentally unwell,30s,some college,unhealthy,poor,single,male
Anyone left a relationship due to their financial situation?,financial,not specified,feeling sad,50s,degree,healthy,middle class,in a relationship,female
What should I consider when picking a career with no skills or talent?,financial,student,demotivated,15,grade 9,healthy,poor,single,male
Help me eat less.,financial,not specified,not specified,mid 20s,not specified,slightly underweight,middle class,in a relationship,female
"Need ideas on how to make money from home, but also can only work off my phone bc Laptop just went kaputs.",financial,not specified,not specified,38,not specified,agoraphobia,broke,single,female
How do you save money when you have high fixed costs with little wiggle room?,financial,full-time worker,stressed,30-40,some college,chronic medical issues,middle class,married,female
How can I improve my situation?,financial,lower paying job in a hospital system,stressed,34,some college,healthy,poor,married,female
Does anybody else feel financially hopeless?,financial,full time job,depressed,under 21,dropped out of high school,not given,poor,not given,not given
What should I do if I'm worried about losing my job due to funding freezes?,financial,teacher,feeling helpless,30s,bachelor's degree in progress,healthy,middle class,married,female
What am I working for?,financial,not specified,stressed,25,not in school,frequently sick due to stress,poor,in a relationship,female
What should I do to manage my chronic stress and financial situation while dealing with my health issues?,financial,student,Psychotic Depression (Psychosis in remission),20s,undergraduate degree,"chronically ill with severe sleep apnea, PCOS, TMJ, Psychotic Depression, Autism",poor,single,female
What should I do when no one will hire me after college?,financial,recent college graduate,suicidal,24,4 year BS degree,not healthy,broke,single,male
"I want to get my life together and go to more school, but I can't do that. What should I do?",financial,not given,stressed,20,not given,not given,poor,not given,not given
"If you have any questions about how to get started, please reach out to me, and I will gladly assist you and show you what you need to do in order to get your CDL or even help you find a company in your region.",financial,truck driver,not specified,34,not specified,able bodied,middle class,not specified,male
